"AGE","SEX","TNM_N_cat","TNM_T_cat","colon_cea","no_metastasis","metastasis","risk_level"
58,"2","N1","T0",1,0.3348,0.6652,"HIGH"
59,"2","N1","T0",1,0.2546,0.7454,"HIGH"
60,"2","N1","T0",1,0.2128,0.7872,"HIGH"
61,"2","N1","T0",1,0.1913,0.8087,"HIGH"
62,"2","N1","T0",1,0.1975,0.8025,"HIGH"
63,"2","N1","T0",1,0.179,0.821,"HIGH"
64,"2","N1","T0",1,0.2028,0.7972,"HIGH"
65,"2","N1","T0",1,0.2355,0.7645,"HIGH"
66,"2","N1","T0",1,0.2162,0.7838,"HIGH"
67,"2","N1","T0",1,0.2432,0.7568,"HIGH"
68,"2","N1","T0",1,0.1723,0.8277,"HIGH"
69,"2","N1","T0",1,0.1813,0.8187,"HIGH"
70,"2","N1","T0",1,0.1823,0.8177,"HIGH"
71,"2","N1","T0",1,0.1487,0.8513,"HIGH"
72,"2","N1","T0",1,0.2018,0.7982,"HIGH"
73,"2","N1","T0",1,0.235,0.765,"HIGH"
74,"2","N1","T0",1,0.1887,0.8113,"HIGH"
75,"2","N1","T0",1,0.2351,0.7649,"HIGH"
76,"2","N1","T0",1,0.3127,0.6873,"HIGH"
77,"2","N1","T0",1,0.34,0.66,"HIGH"
78,"2","N1","T0",1,0.3758,0.6242,"HIGH"
79,"2","N1","T0",1,0.371,0.629,"HIGH"
80,"2","N1","T0",1,0.3465,0.6535,"HIGH"
81,"2","N1","T0",1,0.3376,0.6624,"HIGH"
82,"2","N1","T0",1,0.3323,0.6677,"HIGH"
83,"2","N1","T0",1,0.3275,0.6725,"HIGH"
84,"2","N1","T0",1,0.2763,0.7237,"HIGH"
85,"2","N1","T0",1,0.3317,0.6683,"HIGH"
86,"2","N1","T0",1,0.3454,0.6546,"HIGH"
87,"2","N1","T0",1,0.3757,0.6243,"HIGH"
88,"2","N1","T0",1,0.3579,0.6421,"HIGH"
89,"2","N1","T0",1,0.3601,0.6399,"HIGH"
90,"2","N1","T0",1,0.3062,0.6938,"HIGH"
91,"2","N1","T0",1,0.3062,0.6938,"HIGH"
92,"2","N1","T0",1,0.3062,0.6938,"HIGH"
93,"2","N1","T0",1,0.3062,0.6938,"HIGH"
94,"2","N1","T0",1,0.3062,0.6938,"HIGH"
95,"2","N1","T0",1,0.3062,0.6938,"HIGH"
96,"2","N1","T0",1,0.3062,0.6938,"HIGH"
97,"2","N1","T0",1,0.3062,0.6938,"HIGH"
98,"2","N1","T0",1,0.3062,0.6938,"HIGH"
99,"2","N1","T0",1,0.3062,0.6938,"HIGH"
0,"1","N2","T0",1,0.2903,0.7097,"HIGH"
1,"1","N2","T0",1,0.2903,0.7097,"HIGH"
2,"1","N2","T0",1,0.2903,0.7097,"HIGH"
3,"1","N2","T0",1,0.2903,0.7097,"HIGH"
4,"1","N2","T0",1,0.2903,0.7097,"HIGH"
5,"1","N2","T0",1,0.2903,0.7097,"HIGH"
6,"1","N2","T0",1,0.2903,0.7097,"HIGH"
7,"1","N2","T0",1,0.2903,0.7097,"HIGH"
8,"1","N2","T0",1,0.2903,0.7097,"HIGH"
9,"1","N2","T0",1,0.2903,0.7097,"HIGH"
10,"1","N2","T0",1,0.2903,0.7097,"HIGH"
11,"1","N2","T0",1,0.2903,0.7097,"HIGH"
12,"1","N2","T0",1,0.2903,0.7097,"HIGH"
13,"1","N2","T0",1,0.2903,0.7097,"HIGH"
14,"1","N2","T0",1,0.2903,0.7097,"HIGH"
15,"1","N2","T0",1,0.2903,0.7097,"HIGH"
16,"1","N2","T0",1,0.2863,0.7137,"HIGH"
17,"1","N2","T0",1,0.2372,0.7628,"HIGH"
18,"1","N2","T0",1,0.2332,0.7668,"HIGH"
19,"1","N2","T0",1,0.2345,0.7655,"HIGH"
20,"1","N2","T0",1,0.2182,0.7818,"HIGH"
21,"1","N2","T0",1,0.2369,0.7631,"HIGH"
22,"1","N2","T0",1,0.2294,0.7706,"HIGH"
23,"1","N2","T0",1,0.2294,0.7706,"HIGH"
24,"1","N2","T0",1,0.2432,0.7568,"HIGH"
25,"1","N2","T0",1,0.2073,0.7927,"HIGH"
26,"1","N2","T0",1,0.1848,0.8152,"HIGH"
27,"1","N2","T0",1,0.1247,0.8753,"HIGH"
28,"1","N2","T0",1,0.1503,0.8497,"HIGH"
29,"1","N2","T0",1,0.1375,0.8625,"HIGH"
30,"1","N2","T0",1,0.147,0.853,"HIGH"
31,"1","N2","T0",1,0.1276,0.8724,"HIGH"
32,"1","N2","T0",1,0.1515,0.8485,"HIGH"
33,"1","N2","T0",1,0.1674,0.8326,"HIGH"
34,"1","N2","T0",1,0.1903,0.8097,"HIGH"
35,"1","N2","T0",1,0.1891,0.8109,"HIGH"
36,"1","N2","T0",1,0.2006,0.7994,"HIGH"
37,"1","N2","T0",1,0.1795,0.8205,"HIGH"
38,"1","N2","T0",1,0.1603,0.8397,"HIGH"
39,"1","N2","T0",1,0.1762,0.8238,"HIGH"
40,"1","N2","T0",1,0.1574,0.8426,"HIGH"
41,"1","N2","T0",1,0.1723,0.8277,"HIGH"
42,"1","N2","T0",1,0.1959,0.8041,"HIGH"
43,"1","N2","T0",1,0.1375,0.8625,"HIGH"
44,"1","N2","T0",1,0.1323,0.8677,"HIGH"
45,"1","N2","T0",1,0.1343,0.8657,"HIGH"
46,"1","N2","T0",1,0.1269,0.8731,"HIGH"
47,"1","N2","T0",1,0.1408,0.8592,"HIGH"
48,"1","N2","T0",1,0.1422,0.8578,"HIGH"
49,"1","N2","T0",1,0.1325,0.8675,"HIGH"
50,"1","N2","T0",1,0.1382,0.8618,"HIGH"
51,"1","N2","T0",1,0.1164,0.8836,"HIGH"
52,"1","N2","T0",1,0.1331,0.8669,"HIGH"
53,"1","N2","T0",1,0.1101,0.8899,"HIGH"
54,"1","N2","T0",1,0.1429,0.8571,"HIGH"
55,"1","N2","T0",1,0.1273,0.8727,"HIGH"
56,"1","N2","T0",1,0.1213,0.8787,"HIGH"
57,"1","N2","T0",1,0.1171,0.8829,"HIGH"
58,"1","N2","T0",1,0.1157,0.8843,"HIGH"
59,"1","N2","T0",1,0.128,0.872,"HIGH"
