"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
64,"1","N2","T0",0.4415,0.5585,"HIGH"
65,"1","N2","T0",0.4511,0.5489,"HIGH"
66,"1","N2","T0",0.4479,0.5521,"HIGH"
67,"1","N2","T0",0.4555,0.5445,"HIGH"
68,"1","N2","T0",0.4546,0.5454,"HIGH"
69,"1","N2","T0",0.4693,0.5307,"HIGH"
70,"1","N2","T0",0.4268,0.5732,"HIGH"
71,"1","N2","T0",0.4363,0.5637,"HIGH"
72,"1","N2","T0",0.4376,0.5624,"HIGH"
73,"1","N2","T0",0.4397,0.5603,"HIGH"
74,"1","N2","T0",0.4488,0.5512,"HIGH"
75,"1","N2","T0",0.4444,0.5556,"HIGH"
76,"1","N2","T0",0.4241,0.5759,"HIGH"
77,"1","N2","T0",0.4393,0.5607,"HIGH"
78,"1","N2","T0",0.4338,0.5662,"HIGH"
79,"1","N2","T0",0.3857,0.6143,"HIGH"
80,"1","N2","T0",0.3965,0.6035,"HIGH"
81,"1","N2","T0",0.3937,0.6063,"HIGH"
82,"1","N2","T0",0.4605,0.5395,"HIGH"
83,"1","N2","T0",0.4754,0.5246,"HIGH"
84,"1","N2","T0",0.465,0.535,"HIGH"
85,"1","N2","T0",0.3097,0.6903,"HIGH"
86,"1","N2","T0",0.3203,0.6797,"HIGH"
87,"1","N2","T0",0.3502,0.6498,"HIGH"
88,"1","N2","T0",0.307,0.693,"HIGH"
89,"1","N2","T0",0.3068,0.6932,"HIGH"
90,"1","N2","T0",0.2885,0.7115,"HIGH"
91,"1","N2","T0",0.2885,0.7115,"HIGH"
92,"1","N2","T0",0.2885,0.7115,"HIGH"
