"AGE","SEX","TNM_N_cat","TNM_T_cat","liver_afp_cat","liver_fs_cat","no_metastasis","metastasis","risk_level"
49,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3875,0.6125,"HIGH"
50,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3897,0.6103,"HIGH"
51,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.389,0.611,"HIGH"
52,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3864,0.6136,"HIGH"
53,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3837,0.6163,"HIGH"
54,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3794,0.6206,"HIGH"
55,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3711,0.6289,"HIGH"
56,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3688,0.6312,"HIGH"
57,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.368,0.632,"HIGH"
58,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3624,0.6376,"HIGH"
59,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3682,0.6318,"HIGH"
60,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3957,0.6043,"HIGH"
61,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3917,0.6083,"HIGH"
62,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3742,0.6258,"HIGH"
63,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3752,0.6248,"HIGH"
64,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3582,0.6418,"HIGH"
65,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3479,0.6521,"HIGH"
66,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3576,0.6424,"HIGH"
67,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3674,0.6326,"HIGH"
68,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3755,0.6245,"HIGH"
69,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.375,0.625,"HIGH"
70,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3734,0.6266,"HIGH"
71,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3713,0.6287,"HIGH"
72,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3849,0.6151,"HIGH"
73,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.372,0.628,"HIGH"
74,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.363,0.637,"HIGH"
75,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3548,0.6452,"HIGH"
76,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3542,0.6458,"HIGH"
77,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3723,0.6277,"HIGH"
78,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3714,0.6286,"HIGH"
79,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3697,0.6303,"HIGH"
80,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3652,0.6348,"HIGH"
81,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3581,0.6419,"HIGH"
82,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3578,0.6422,"HIGH"
83,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3549,0.6451,"HIGH"
84,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.347,0.653,"HIGH"
85,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3457,0.6543,"HIGH"
86,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.355,0.645,"HIGH"
87,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3464,0.6536,"HIGH"
88,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3522,0.6478,"HIGH"
89,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3426,0.6574,"HIGH"
90,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3408,0.6592,"HIGH"
91,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3408,0.6592,"HIGH"
92,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3408,0.6592,"HIGH"
93,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3408,0.6592,"HIGH"
